ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Predicted_Credit_Score
119215,13625,2,0.5714285714285714,30,995314669,1.3416264966568185,43391.96,1,5,10,0,9,6.0,10.72,0.0,0.8630155020899846,1468.28,29.112467941684688,284.0,1.0996467223686424,0.0,53.969385063055675,1.3193666731029157,554.9302816036111,0,0
125910,34582,1,1.1428571428571428,18,185998068,1.3381284294824263,14351.21,8,7,18,6,18,17.0,21.91,9.0,1.3692935582951151,4766.87,39.84973227806506,98.0,1.5311801242236025,61.09871813783708,118.08021357217683,1.3874237140366172,238.3144849566528,1,1
35430,8668,1,1.1428571428571428,41,241538475,1.3537728828694746,130125.04,5,2,11,2,3,0.0,3.82,3.0,0.8630155020899846,1195.05,21.542891624957218,191.0,1.0996467223686424,204.2856497535492,1255.8993022448951,1.387460040685847,0.007759664775335295,0,0
120681,13011,4,1.3333333333333333,35,204786176,1.3414709998445031,20107.21,6,6,32,2,15,13.0,10.4,11.0,1.6703164874473793,2544.6,32.423758877939925,232.0,1.5311801242236025,27.10639489500224,66.81977464950728,1.3874237140366172,359.23391378882377,1,1
145117,44461,8,0.967741935483871,27,27116852,1.3710979138114816,92186.19,1,2,12,4,1,0.0,9.74,4.0,0.8630155020899846,809.01,39.54313064710278,249.0,1.0996467223686424,185.7976538199101,115.52003931707223,1.3452762003097574,697.4005568630175,0,0
120284,20493,3,1.0,42,872670804,1.329335931644431,44998.71,10,5,31,3,57,10.0,16.65,8.0,1.6703164874473793,2559.56,24.798943341746067,227.0,1.3330834582708646,56.83945041255036,182.90043954253653,1.35188734272144,411.9493600449131,1,1
131638,45967,5,0.5714285714285714,34,76837903,1.343725397575185,56500.7,2,3,4,2,8,3.0,7.86,3.0,0.8630155020899846,991.98,34.706490606642284,391.0,1.0996467223686424,79.01141911646876,621.000984980842,1.387460040685847,66.52676256935598,0,0
127007,7896,6,1.0,20,819430968,1.3673165649650245,135178.44,0,6,6,0,22,10.0,11.27,3.0,0.8629825889477668,1024.39,28.69347467973126,307.0,1.3330834582708646,0.0,969.7324794302008,1.3874237140366172,474.5545205697992,1,0
96781,33074,8,0.8571428571428571,35,352957668,1.3669939909130882,75455.34,3,6,11,1,24,13.0,9.77,8.0,1.6703382991253517,68.09,28.350773499864825,93.0,1.5311992355470616,60.42174273137702,277.5692087071276,1.3519706691109075,533.7035485614954,0,0
80744,48883,3,1.0666666666666667,22,239394735,1.341315503032188,9155.455,6,7,1208,5,36,23.0,27.14,11.0,1.369251483148904,3914.45,37.03038771692199,57.0,1.5311610129001434,24.300245768929734,16.968028868748124,1.3873873873873874,295.82718369565544,2,1
